,state,PerCapita
0,Goa,"₹ 4,35,959"
1,Sikkim,"₹ 4,03,376"
2,Delhi,"₹ 3,76,221"
3,Chandigarh,"₹ 3,30,015"
4,Haryana,"₹ 2,47,628"
5,Telangana,"₹ 2,33,325"
6,Karnataka,"₹ 2,23,175"
7,Kerala,"₹ 2,21,904"
8,Puducherry,"₹ 2,20,949"
9,Andaman and Nicobar Islands,"₹ 2,18,649"
10,Gujarat,"₹ 2,13,936"
11,Tamil Nadu,"₹ 2,13,396"
12,Uttarakhand,"₹ 2,02,895"
13,Maharashtra,"₹ 2,02,130"
14,Himachal Pradesh,"₹ 1,90,407"
15,Mizoram,"₹ 1,87,327"
16,Arunachal Pradesh,"₹ 1,69,742"
17,Andhra Pradesh,"₹ 1,68,480"
18,Punjab,"₹ 1,51,491"
19,India,"₹ 1,47,210"
20,Tripura,"₹ 1,29,675"
21,West Bengal,"₹ 1,21,463"
22,Nagaland,"₹ 1,20,518"
23,Rajasthan,"₹ 1,16,492"
24,Odisha,"₹ 1,09,730"
25,Chhattisgarh,"₹ 1,04,989"
26,Jammu and Kashmir,"₹ 1,04,889"
27,Madhya Pradesh,"₹ 98,418"
28,Assam,"₹ 86,801"
29,Manipur,"₹ 84,746"
30,Meghalaya,"₹ 82,182"
31,Jharkhand,"₹ 75,739"
32,Uttar Pradesh,"₹ 65,431"
33,Bihar,"₹ 46,292"
